,Year,Period,Mean Land-Ocean Temp (Celsius)
0,1880,JAN THRU MAR,-36.0
1,1881,JAN THRU MAR,-18.0
2,1882,JAN THRU MAR,18.0
3,1883,JAN THRU MAR,-45.0
4,1884,JAN THRU MAR,-30.0
5,1885,JAN THRU MAR,-54.0
6,1886,JAN THRU MAR,-73.0
7,1887,JAN THRU MAR,-71.0
8,1888,JAN THRU MAR,-54.0
9,1889,JAN THRU MAR,3.0
10,1890,JAN THRU MAR,-55.0
11,1891,JAN THRU MAR,-42.0
12,1892,JAN THRU MAR,-42.0
13,1893,JAN THRU MAR,-91.0
14,1894,JAN THRU MAR,-49.0
15,1895,JAN THRU MAR,-64.0
16,1896,JAN THRU MAR,-32.0
17,1897,JAN THRU MAR,-38.0
18,1898,JAN THRU MAR,-36.0
19,1899,JAN THRU MAR,-44.0
20,1900,JAN THRU MAR,-21.0
21,1901,JAN THRU MAR,-4.0
22,1902,JAN THRU MAR,-18.0
23,1903,JAN THRU MAR,-8.0
24,1904,JAN THRU MAR,-58.0
25,1905,JAN THRU MAR,-48.0
26,1906,JAN THRU MAR,-42.0
27,1907,JAN THRU MAR,-53.0
28,1908,JAN THRU MAR,-50.0
29,1909,JAN THRU MAR,-68.0
30,1910,JAN THRU MAR,-41.0
31,1911,JAN THRU MAR,-65.0
32,1912,JAN THRU MAR,-37.0
33,1913,JAN THRU MAR,-56.0
34,1914,JAN THRU MAR,-10.0
35,1915,JAN THRU MAR,-20.0
36,1916,JAN THRU MAR,-21.0
37,1917,JAN THRU MAR,-66.0
38,1918,JAN THRU MAR,-47.0
39,1919,JAN THRU MAR,-39.0
40,1920,JAN THRU MAR,-15.0
41,1921,JAN THRU MAR,-1.0
42,1922,JAN THRU MAR,-36.0
43,1923,JAN THRU MAR,-35.0
44,1924,JAN THRU MAR,-16.0
45,1925,JAN THRU MAR,-30.0
46,1926,JAN THRU MAR,36.0
47,1927,JAN THRU MAR,-28.0
48,1928,JAN THRU MAR,4.0
49,1929,JAN THRU MAR,-52.0
50,1930,JAN THRU MAR,-7.0
51,1931,JAN THRU MAR,-8.0
52,1932,JAN THRU MAR,-0.0
53,1933,JAN THRU MAR,-26.0
54,1934,JAN THRU MAR,-3.0
55,1935,JAN THRU MAR,7.0
56,1936,JAN THRU MAR,-31.0
57,1937,JAN THRU MAR,3.0
58,1938,JAN THRU MAR,32.0
59,1939,JAN THRU MAR,-8.0
60,1940,JAN THRU MAR,2.0
61,1941,JAN THRU MAR,25.0
62,1942,JAN THRU MAR,11.0
63,1943,JAN THRU MAR,9.0
64,1944,JAN THRU MAR,45.0
65,1945,JAN THRU MAR,4.0
66,1946,JAN THRU MAR,18.0
