Year,Period,Mean_Temp
1880,JAN THRU MAR,-36
1881,JAN THRU MAR,-18
1882,JAN THRU MAR,18
1883,JAN THRU MAR,-45
1884,JAN THRU MAR,-30
1885,JAN THRU MAR,-54
1886,JAN THRU MAR,-73
1887,JAN THRU MAR,-71
1888,JAN THRU MAR,-54
1889,JAN THRU MAR,3
1890,JAN THRU MAR,-55
1891,JAN THRU MAR,-42
1892,JAN THRU MAR,-42
1893,JAN THRU MAR,-91
1894,JAN THRU MAR,-49
1895,JAN THRU MAR,-64
1896,JAN THRU MAR,-32
1897,JAN THRU MAR,-38
1898,JAN THRU MAR,-36
1899,JAN THRU MAR,-44
1900,JAN THRU MAR,-21
1901,JAN THRU MAR,-4
1902,JAN THRU MAR,-18
1903,JAN THRU MAR,-8
1904,JAN THRU MAR,-58
1905,JAN THRU MAR,-48
1906,JAN THRU MAR,-42
1907,JAN THRU MAR,-53
1908,JAN THRU MAR,-50
1909,JAN THRU MAR,-68
1910,JAN THRU MAR,-41
1911,JAN THRU MAR,-65
1912,JAN THRU MAR,-37
1913,JAN THRU MAR,-56
1914,JAN THRU MAR,-10
1915,JAN THRU MAR,-20
1916,JAN THRU MAR,-21
1917,JAN THRU MAR,-66
1918,JAN THRU MAR,-47
1919,JAN THRU MAR,-39
1920,JAN THRU MAR,-15
1921,JAN THRU MAR,-1
1922,JAN THRU MAR,-36
1923,JAN THRU MAR,-35
1924,JAN THRU MAR,-16
1925,JAN THRU MAR,-30
1926,JAN THRU MAR,36
1927,JAN THRU MAR,-28
1928,JAN THRU MAR,4
1929,JAN THRU MAR,-52
1930,JAN THRU MAR,-7
1931,JAN THRU MAR,-8
1932,JAN THRU MAR,0
1933,JAN THRU MAR,-26
1934,JAN THRU MAR,-3
1935,JAN THRU MAR,7
1936,JAN THRU MAR,-31
1937,JAN THRU MAR,3
1938,JAN THRU MAR,32
1939,JAN THRU MAR,-8
1940,JAN THRU MAR,2
1941,JAN THRU MAR,25
1942,JAN THRU MAR,11
1943,JAN THRU MAR,9
1944,JAN THRU MAR,45
1945,JAN THRU MAR,4
1946,JAN THRU MAR,18
1947,JAN THRU MAR,6
1948,JAN THRU MAR,-4
1949,JAN THRU MAR,5
1950,JAN THRU MAR,-17
1951,JAN THRU MAR,-35
1952,JAN THRU MAR,4
1953,JAN THRU MAR,29
1954,JAN THRU MAR,-14
1955,JAN THRU MAR,-4
1956,JAN THRU MAR,-20
1957,JAN THRU MAR,-10
1958,JAN THRU MAR,37
1959,JAN THRU MAR,24
1960,JAN THRU MAR,6
1961,JAN THRU MAR,23
1962,JAN THRU MAR,31
1963,JAN THRU MAR,15
1964,JAN THRU MAR,-13
1965,JAN THRU MAR,-16
1966,JAN THRU MAR,-7
1967,JAN THRU MAR,-11
1968,JAN THRU MAR,0
1969,JAN THRU MAR,-36
1970,JAN THRU MAR,6
1971,JAN THRU MAR,-21
1972,JAN THRU MAR,-35
1973,JAN THRU MAR,31
1974,JAN THRU MAR,-19
1975,JAN THRU MAR,12
1976,JAN THRU MAR,-13
1977,JAN THRU MAR,7
1978,JAN THRU MAR,14
1979,JAN THRU MAR,-7
1980,JAN THRU MAR,23
1981,JAN THRU MAR,70
1982,JAN THRU MAR,3
1983,JAN THRU MAR,44
1984,JAN THRU MAR,18
1985,JAN THRU MAR,-7
1986,JAN THRU MAR,31
1987,JAN THRU MAR,25
1988,JAN THRU MAR,51
1989,JAN THRU MAR,31
1990,JAN THRU MAR,72
1991,JAN THRU MAR,54
1992,JAN THRU MAR,55
1993,JAN THRU MAR,43
1994,JAN THRU MAR,26
