Year,Season, State, Total Annual Loss, Beekeepers, Beekeepers Exclusive to State, Colonies, Colonies Exclusive to State,,,,,,,
2016/17,Annual,Massachusetts,15.90%,87,94.30%,27186,2.30%,,,,,,,
2016/17,Annual,Montana,17.10%,21,52.40%,35905,0.30%,,,,,,,
2016/17,Annual,Nevada,23.00%,13,92.30%,2512,5.20%,,,,,,,
2016/17,Annual,Maine,23.30%,65,93.80%,41102,1.40%,,,,,,,
2016/17,Annual,Wyoming,23.40%,18,77.80%,6521,1.40%,,,,,,,
2016/17,Annual,Hawaii,26.20%,10,100.00%,84,100.00%,,,,,,,
2016/17,Annual,Mississippi,26.30%,9,22.20%,17802,0.20%,,,,,,,
2016/17,Annual,West Virginia,26.60%,52,94.20%,993,79.80%,,,,,,,
2016/17,Annual,Idaho,27.30%,30,83.30%,76794,1.90%,,,,,,,
2016/17,Annual,Florida,29.20%,62,82.30%,95872,4.20%,,,,,,,
2016/17,Annual,Wisconsin,29.40%,99,93.90%,15800,10.10%,,,,,,,
2016/17,Annual,North Carolina,29.90%,206,95.60%,7246,21.30%,,,,,,,
2016/17,Annual,California,30.50%,163,63.20%,383369,20.10%,,,,,,,
2016/17,Annual,Georgia,30.50%,81,87.70%,38443,8.20%,,,,,,,
2016/17,Annual,MultiStateOperation,31.80%,126,0.00%,345567,0.00%,,,,,,,
2016/17,Annual,South Dakota,32.20%,12,50.00%,29626,0.40%,,,,,,,
2016/17,Annual,Oregon,32.40%,137,93.40%,35433,2.40%,,,,,,,
2016/17,Annual,Michigan,32.60%,138,96.40%,14949,12.30%,,,,,,,
2016/17,Annual,Missouri,33.60%,88,96.60%,1177,93.60%,,,,,,,
2016/17,Annual,Texas,34.90%,136,92.70%,60699,9.00%,,,,,,,
2016/17,Annual,Alabama,34.90%,38,97.40%,573,97.50%,,,,,,,
2016/17,Annual,New Mexico,35.40%,19,94.70%,359,29.80%,,,,,,,
2016/17,Annual,Louisiana,36.10%,18,88.90%,5970,11.20%,,,,,,,
2016/17,Annual,North Dakota,37.80%,17,11.80%,163861,0.00%,,,,,,,
2016/17,Annual,District of Columbia,38.70%,20,90.00%,106,80.90%,,,,,,,
2016/17,Annual,Ohio,39.00%,233,97.80%,2717,89.50%,,,,,,,
2016/17,Annual,Washington,39.70%,89,89.90%,85387,1.00%,,,,,,,
2016/17,Annual,Arkansas,39.70%,32,90.60%,3183,15.30%,,,,,,,
2016/17,Annual,Kentucky,40.50%,50,94.00%,3603,27.80%,,,,,,,
2016/17,Annual,Indiana,41.40%,99,100.00%,952,100.00%,,,,,,,
2016/17,Annual,New Jersey,41.40%,74,93.20%,4143,15.20%,,,,,,,
2016/17,Annual,New York,43.80%,143,92.30%,29782,14.10%,,,,,,,
2016/17,Annual,Virginia,44.10%,371,97.00%,3263,94.80%,,,,,,,
2016/17,Annual,Rhode Island,44.70%,15,80.00%,76,57.10%,,,,,,,
2016/17,Annual,Kansas,47.70%,16,93.80%,23181,0.90%,,,,,,,
2016/17,Annual,Colorado,48.30%,90,95.60%,669,95.10%,,,,,,,
2016/17,Annual,Vermont,48.50%,43,93.00%,2050,83.40%,,,,,,,
2016/17,Annual,Tennessee,49.00%,57,100.00%,1199,100.00%,,,,,,,
2016/17,Annual,Minnesota,49.40%,79,87.30%,27486,6.90%,,,,,,,
2016/17,Annual,Pennsylvania,51.60%,581,97.60%,15517,40.30%,,,,,,,
2016/17,Annual,Utah,53.20%,167,97.00%,3302,36.30%,,,,,,,
2016/17,Annual,South Carolina,53.80%,53,94.30%,6246,14.20%,,,,,,,
2016/17,Annual,Maryland,55.00%,127,90.50%,5582,32.50%,,,,,,,
2016/17,Annual,Illinois,59.00%,94,97.90%,906,99.60%,,,,,,,
